Term	boolean	country	day	establishmentMeans	institutionCode	lifeStage	month	plateWell	processingLab	sequencingLab	sex	typeStatus	year
					CCT<IH>								
					CCTCC								
					CCTM								
					CCTR								
					CCTS<IH>								
					CCUF								
					CCUG								
					CCVC								
					CCVCC								
					CCW								
					CCY								
					CDA								
					CDA<IH>								
					CDBB								
					CDBI<IH>								
					CDC								
					CDC<IH>								
					CDCM<IH>								
					CDFM<IH>								
					CDFN<IH>								
					CDN<IH>								
					CDRI<IH>								
					CDRS								
					CDS<IH>								
					CEAM								
					CEB<IH>								
					CEBU<IH>								
					CECT								
					CEDD<IH>								
					CEEF								
					CEET								
					CEL<IH>								
					CELM								
					CELMS								
					CEMBP								
					CEMML								
					CEN<IH>								
					CENA								
					CENACUMI								
					CENG								
					CEPEC<IH>								
					CEPH								
					CEPIM								
					CEPM								
					CERL/BIC								
					CERN<IH>								
					CESA								
					CESJ<IH>								
					CESK<IH>								
					CEST								
					CET								
					CETESB								
					CEU								
					CFB<IH>								
					CFBH								
					CFBP								
					CFGR								
					CFIA<IH>								
					CFMR<IH>								
					CFN<IH>								
					CFNL<IH>								
					CFQ								
					CFRB								
					CFS								
					CFSHB<IH>								
					CFUA								
					CG								
					CGC								
					CGE<IH>								
					CGEC								
					CGG<IH>								
					CGH								
					CGMCC								
					CGMS<IH>								
					CGN								
					CGRB								
					CGSC								
					CH								
					CH-AG								
					CH<IH>								
					CHA<IH>								
					CHAB<IH>								
					CHAF<IH>								
					CHAM<IH>								
					CHAP<IH>								
					CHAPA<IH>								
					CHARL<IH>								
					CHAS								
					CHAS<IH>								
					CHBG<IH>								
					CHE<IH>								
					CHEB<IH>								
					CHEL<IH>								
					CHELB<IH>								
					CHEP<IH>								
					CHER<IH>								
					CHFD<IH>								
					CHI<IH>								
					CHIA<IH>								
					CHIC<IH>								
					CHINM								
					CHIOC								
					CHIP<IH>								
					CHIS<IH>								
					CHISA<IH>								
					CHL<IH>								
					CHM								
					CHM<IH>								
					CHNCB								
					CHOCO<IH>								
					CHOM<IH>								
					CHPU<IH>								
					CHR<IH>								
					CHRB<IH>								
					CHRG<IH>								
					CHSC<IH>								
					CHT<IH>								
					CHUG<IH>								
					CHULA								
					CHUNB								
					CHUR<IH>								
					CHWTB								
					CI<IH>								
					CIAN								
					CIAN<IH>								
					CIAT								
					CIB								
					CIB<IH>								
					CIBC								
					CIBM								
					CIC<IH>								
					CICC								
					CICESE								
					CICIM								
					CICIMAR								
					CICV								
					CICY<IH>								
					CIDA								
					CIECRO<IH>								
					CIES								
					CIFE								
					CIIDIR<IH>								
					CIJC								
					CIMAP<IH>								
					CIMAR								
					CIMI<IH>								
					CIMNH								
					CIMSC								
					CINC<IH>								
					CINT<IH>								
					CIP								
					CIP<PER>								
					CIPDE								
					CIPT								
					CIQR<IH>								
					CIR<IH>								
					CIRAD								
					CIRM								
					CIRUV								
					CIS								
					CIS<IH>								
					CISM								
					CIT<IH>								
					CITA<IH>								
					CIUC								
					CIZ								
					CKE<IH>								
					CL<IH>								
					CLA<IH>								
					CLARK<IH>								
					CLCB<IH>								
					CLCC								
					CLD<IH>								
					CLE<IH>								
					CLEMS<IH>								
					CLEV								
					CLEY<IH>								
					CLF<IH>								
					CLI<IH>								
					CLIB								
					CLIOC								
					CLM<IH>								
					CLMP								
					CLNP								
					CLOE<IH>								
					CLP<IH>								
					CLR<IH>								
					CLU<IH>								
					CM								
					CM-IEA								
					CM-UMSNH								
					CM<IH>								
					CMA<IH>								
					CMBGCAS								
					CMBK								
					CMBY<IH>								
					CMC								
					CMC<IH>								
					CMCC								
					CMCNA								
					CMDM-PUJ								
					CMEI								
					CMFRI								
					CMGG								
					CMGP								
					CMIZASDPRK								
					CMKKU								
					CML								
					CMM								
					CMM<IH>								
					CMMC								
					CMMED								
					CMMEX<IH>								
					CMMF<IH>								
					CMMI<IH>								
					CMML<IH>								
					CMN								
					CMNAR								
					CMNC								
					CMNFI								
